   1	2   0   5 
   3	1   5 
   3	1   0 
   3	2   1   4 
   4	1   0 
   5	1   1 
   5	1   4 
   6	2   5   1 
   8	2   0   5 
  10	1   5 
  10	2   1   0 
  12	1   0 
  12	2   1   5 
  14	1   5 
  14	1   1 
  15	2   0   5 
  17	2   1   0 
  19	1   0 
  19	2   5   1 
  21	2   0   8 
  23	1   8 
  23	1   0 
  24	1   0 
  24	2   8   4 
  25	1   0 
  26	2   0   8 
  28	1   8 
  28	2   4   0 
  30	1   0 
  30	2   4   8 
  32	1   8 
  32	1   4 
  33	2   0   8 
  35	2   4   0 
  37	1   0 
  37	2   8   4 
