   1	2   8   2 
   1	2  30  28 
   1	2  25  19 
   1	2  34  33 
   3	2   3   2 
   3	2  13   5 
   3	6  16  14 
   5	2  27   6 
   7	6  18  12 
   9	2   3   9 
   9	2   0  14 
  11	2   1  14 
  13	1  14 
  13	2  11   9 
  13	6  23  22 
  15	2   9  10 
  15	2   1   7 
  17	2   2   7 
  19	1   2 
  19	6  10   8 
   3	6  37  31 
  13	6  31  25 
   9	6  36  35 
  19	6  36  31 
  25	2   3  17 
  27	3  10  11   8 
  25	6  32  31 
  30	3  10   9   8 
  31	6  32  19 
  33	2  10  16 
  35	3   0   2   7 
  38	2  11  16 
  40	3  10   9  16 
  43	3  10  11  16 
  46	2  11  18 
  46	2  16  15 
  48	2  24  18 
  48	3   1   8  15 
  50	2  24  17 
  51	3   0   7   2 
  50	6  19  11 
  54	3   1  16  15 
  56	6  25  19 
  57	2  16  15 
  59	3   0  15  16 
  62	1  16 
  62	6   9   1 
  62	6  22  15 
  68	3   3  18  17 
  71	3  24   3  17 
  74	2  17  23 
  76	3  10  18  23 
  79	3  10  17  23 
  82	2  10  12 
  82	6  23  15 
  84	6  19  18 
  88	6  29  16 
  94	2  24  12 
  94	6  15   8 
  96	3  10  17  12 
 100	3  10  24  12 
 103	2  12   4 
 103	6   8   2 
 105	3  25  24  18 
 105	6  12   5 
 109	6   9   2 
 103	6  22  21 
 109	6  22  15 
 115	3   3  18  11 
 115	6   1   0 
 118	2  11  23 
 120	3  10  18  23 
 123	3  10  11  23 
 126	3   2   9   4 
 129	3  10  11  16 
 132	2  16  15 
 132	6   3   1 
 126	6  26  25 
 126	6  38  36 
 132	6  31  19 
  37	6  40  34 
 138	3   2   5   4 
 138	6  39  26 
 141	2   5   4 
 143	3   2  23  15 
 132	6  36  35 
 144	6  40  26 
 146	3   2  16  15 
 149	2  16  15 
 149	3   3   4   5 
 146	6  45  36 
 152	1   5 
 152	3   3  15  16 
 155	2  16  28 
 157	1  28 
 157	3  30  16  37 
 160	2  37  32 
 162	1  32 
 163	3  38  37  25 
 166	2  25  12 
 168	1  12 
 169	3  13  25  20 
 172	2  20   6 
 174	1   6 
 174	3  27  20  19 
 177	2  19  33 
 179	1  33 
 180	3  26  19  40 
 183	2  45  40 
 185	1  40 
 186	1  40 
