   1	1   9 
   1	1  13 
   1	1  10 
   1	1   3 
   1	1  11 
   1	1  12 
   1	1  14 
   1	1  15 
   1	1   0 
   1	1   1 
   1	1   4 
   1	1   5 
   1	1   2 
   1	1   6 
   1	1   7 
   1	1   8 
   2	1   5 
   3	2   0   5 
   5	1   0 
   5	2   1   5 
   7	1   1 
   7	2   4   5 
   9	1   4 
   9	2   2   5 
  11	1   2 
  11	2   6   5 
  13	2   7   5 
  15	1   6 
  15	1   7 
  15	2   8   5 
  17	1   8 
  17	2   9   5 
  19	1   9 
  19	2  10   5 
  21	1  10 
  21	2  13   5 
  23	1  13 
  16	6   7   3 
  23	2   7   5 
  25	1   7 
  25	6  10   5 
  31	2  11  10 
  33	1  11 
  24	6  13  12 
  33	2  13  10 
  35	1  13 
  35	2  14  10 
  37	1  14 
  37	2  15  10 
  39	1  15 
